393,26,24,23,59,1381,55,180,50,16,1280,21
215A,1,1,3,1,73,0,6,0,1,5,0
130,3,3,1,5,169,6,49,4,1,239,3
242,1,6,0,3,133,4,14,3,0,159,2
208,2,5,0,3,108,2,12,3,1,68,0
13L,3,11,6,3,154,11,19,9,3,82,4
11I,94,277,260,116,3013,568,1320,259,103,3511,99
11B,140,164,222,26,2457,241,434,102,29,877,37
13J,220,665,627,160,8277,1106,2090,479,154,5388,177
44,159,185,162,205,5452,319,2242,285,109,6117,112
396A,0,0,0,0,23,0,2,0,0,1,1
355,6,11,6,11,464,17,70,26,10,184,6
212B,1,1,0,2,79,0,8,0,2,83,1
266,15,8,4,8,114,12,50,21,6,541,4
241,28,36,30,56,2071,78,198,55,29,1304,33
25A,0,2,3,0,45,2,6,2,1,16,1
111,8,9,6,13,332,4,89,14,2,257,3
214,6,11,10,10,627,32,100,28,7,367,13
14I,63,154,189,24,2323,252,420,111,31,506,32
330A,3,5,5,4,166,11,69,16,5,91,4
1,194,261,517,45,5402,665,1172,327,68,1089,91
316E,6,36,22,6,314,38,95,14,8,283,7
261,48,49,46,55,1717,152,456,73,21,1210,45
286,1,3,1,2,52,0,8,5,1,35,1
303,12,10,15,11,560,25,122,15,9,742,10
194,7,5,5,11,184,4,66,14,3,75,2
145A,0,0,0,5,42,2,27,2,0,62,0
12A,42,115,70,66,1201,191,484,145,113,1446,45
282,32,31,26,56,1871,68,416,54,18,3637,18
279A,4,4,5,12,61,0,10,12,0,123,2
370A,0,0,0,0,4,0,0,0,0,5,0
5F,24,63,73,40,707,160,368,86,57,1502,37
364,27,42,13,52,1057,74,273,40,52,1226,23
10C,38,139,110,52,1510,287,531,120,34,1705,52
131A,0,0,1,0,15,0,0,2,0,9,1
3,253,359,710,65,6351,1095,1586,450,108,1508,125
4D,15,114,161,6,1118,72,120,29,9,142,9
155A,2,8,8,4,297,28,72,20,1,220,10
144A,0,0,0,0,2,1,4,2,0,24,0
102,41,28,95,60,1229,57,265,60,22,1511,27
84,0,0,0,0,10,0,3,1,0,6,0
5E,23,99,64,30,1005,157,300,68,23,908,37
13G,117,423,354,97,5150,668,1098,356,154,3843,148
10E,95,368,251,96,3231,587,902,220,58,2324,78
189,62,48,66,76,2549,76,329,80,44,1624,34
101,0,1,0,0,26,1,8,0,0,16,1
402,3,8,3,15,405,10,29,14,7,545,7
11,24,73,57,32,1040,175,269,97,24,1146,36
289,9,11,7,10,295,9,42,6,2,489,7
265A,23,37,19,47,998,64,398,108,20,1361,20
10J,110,337,359,111,3686,570,852,244,94,1954,92
9D,114,265,288,24,3974,384,632,197,45,863,69
14F,67,189,230,13,2481,312,387,118,29,769,41
12F,178,561,572,75,6151,902,1273,336,107,2532,167
371,4,7,3,7,428,21,47,8,6,577,4
307,0,0,0,0,0,0,0,0,0,0,0
240,122,162,131,86,3813,350,1059,219,44,2999,69
233,9,11,10,15,487,38,92,20,9,243,6
28,107,179,270,75,3244,412,639,248,149,3276,93
78,5,6,20,13,503,14,66,12,2,303,4
195,0,0,0,0,20,1,3,2,1,71,0
7B,278,560,568,72,7581,1109,1827,451,82,2690,159
239,103,93,77,95,4302,227,1062,123,35,2643,92
261B,0,1,0,1,6,0,0,1,0,10,0
384,8,7,8,24,494,21,213,23,5,174,4
6B,0,7,1,3,52,3,15,1,0,54,1
316B,0,0,1,0,24,8,21,3,0,47,1
43C,0,0,0,0,0,0,0,0,0,0,0
389,41,23,38,40,1669,82,337,67,20,1396,37
157,53,114,112,76,2628,309,574,132,34,1510,96
98,0,1,1,0,11,0,10,0,0,9,0
26B,2,1,0,0,55,5,7,8,1,29,0
43,0,1,0,3,5,0,2,1,1,4,0
316A,28,106,86,41,1306,190,481,96,29,761,34
183,109,88,63,102,3392,149,710,170,52,1269,53
299,1,0,0,1,88,1,14,1,2,130,1
46,4,8,2,8,74,7,60,7,3,149,2
72,11,18,8,42,833,14,198,24,8,618,12
25,26,24,49,22,821,26,67,23,4,1040,13
211,79,168,133,56,3505,258,585,155,31,2199,72
262,47,44,48,54,2666,292,487,108,31,2042,50
226A,0,2,0,7,51,1,17,4,1,125,0
349A,0,2,3,3,129,7,4,2,1,133,1
396,32,65,64,79,3069,114,377,109,28,1289,24
263E,6,8,5,11,219,30,83,8,5,102,5
277,94,8,9,17,714,39,33,27,1,1075,5
30,53,97,118,26,2256,140,346,70,13,1068,35
55,15,15,5,31,671,20,219,24,6,591,5
156D,57,44,59,29,1651,147,377,60,21,608,35
6,57,132,150,20,1661,257,323,78,34,711,32
28A,109,296,299,57,3935,495,670,222,36,3259,99
16A,1,1,0,1,25,1,12,0,1,19,0
363,0,0,0,0,2,0,0,0,0,13,0
354,2,5,2,3,47,7,23,2,2,52,0
232,10,16,28,22,597,23,57,9,4,405,11
5D,64,191,188,74,2076,426,1017,146,66,2633,63
236A,0,0,0,0,0,0,0,0,0,0,0
257,9,29,13,36,782,27,154,30,15,990,15
158C,21,38,35,22,930,111,297,33,11,354,18
325,13,15,17,8,443,23,54,15,1,382,18
265C,8,12,3,18,64,13,101,13,2,372,2
20A,68,48,64,58,2885,191,637,152,28,1287,56
350,0,0,1,3,213,0,8,3,2,33,1
185,0,0,0,0,1,0,0,0,0,0,0
374,1,2,2,3,289,6,103,3,6,99,1
4A,205,563,559,74,6212,927,1291,342,103,2279,121
53B,0,0,0,0,4,0,0,0,0,2,0
229A,1,3,0,1,102,2,7,2,1,16,0
178,1,3,2,0,7,1,7,2,2,15,0
359,31,46,45,48,2716,88,350,75,21,2192,39
386,0,4,5,10,66,2,75,4,0,290,2
173,0,0,0,0,4,0,1,0,0,0,0
275A,17,33,7,29,96,24,49,20,12,1271,10
158B,5,29,17,18,427,57,107,32,9,192,15
210,2,2,1,1,19,1,5,0,0,11,1
372A,0,2,0,5,73,5,15,8,0,23,0
158A,5,8,4,3,153,16,67,9,6,118,4
11H,137,172,239,20,2801,289,484,108,36,684,39
10I,94,383,423,33,3663,518,744,194,46,1275,73
12G,82,244,255,60,3224,564,730,195,131,2021,80
385,10,10,9,22,421,21,56,14,15,388,13
25B,1,4,1,0,62,10,9,4,0,141,3
387,2,15,4,8,419,11,47,11,6,505,6
191,33,30,12,31,944,23,150,37,19,731,15
248,86,155,120,210,6135,295,1070,248,65,3504,121
395,14,12,14,30,851,18,100,24,6,707,15
228,16,32,15,34,598,15,135,23,5,481,7
168,4,3,2,2,184,6,14,10,4,354,2
70,22,25,16,45,1137,35,142,51,25,1707,22
341,21,37,42,62,1480,97,195,76,26,1030,29
50A,8,10,2,12,143,5,105,7,10,150,2
176,0,1,0,1,22,0,4,0,0,14,0
41,287,824,792,86,11119,1033,2049,459,155,3891,215
204,13,4,9,5,340,8,23,11,2,529,5
160,28,19,23,59,917,44,187,48,22,479,15
179,129,42,55,146,2243,193,537,113,54,1382,43
295,6,13,9,11,466,14,27,10,5,483,6
